id,world_port_index_number,main_port_name,wpi_country,Latitude,Longitude,region
32259,5940,INGONISH,Canada,46.633333,-60.383333,CAPE BRETON ISLAND
32260,5950,BADDECK,Canada,46.1,-60.75,CAPE BRETON ISLAND
32261,5960,WHYCOCOMAGH,Canada,45.966667,-61.133333,CAPE BRETON ISLAND
32262,5970,GRAND NARROWS,Canada,45.95,-60.783333,CAPE BRETON ISLAND
32263,1220,PORT BURWELL,Canada,60.416667,-64.85,HUDSON STRAIT
32264,1238,SAGLEK BAY,Canada,58.6,-62.833333,LABRADOR
32265,1240,HEBRON,Canada,58.2,-62.633333,LABRADOR
32266,1260,NAIN,Canada,56.55,-61.683333,LABRADOR
32267,1270,FORD,Canada,56.466667,-61.183333,LABRADOR
32268,1290,HOPEDALE,Canada,55.45,-60.2,LABRADOR
32269,1300,INDIAN HARBOR,Canada,54.45,-57.216667,LABRADOR
32270,1310,RIGOLET,Canada,54.183333,-58.416667,LABRADOR
32271,1330,NORTH WEST RIVER,Canada,53.533333,-60.15,LABRADOR
32272,1340,TERRINGTON BASIN,Canada,53.35,-60.4,LABRADOR
32273,1350,CARTWRIGHT,Canada,53.7,-57.033333,LABRADOR
32274,1360,GRADY HARBOUR,Canada,53.8,-56.45,LABRADOR
32275,1370,BATEAU HARBOR,Canada,53.4,-55.766667,LABRADOR
32276,1380,VENISON TICKLE,Canada,52.983333,-55.766667,LABRADOR
32277,1385,PORT HOPE SIMPSON,Canada,52.55,-56.3,LABRADOR
32278,1390,BATTLE HARBOR,Canada,52.266667,-55.583333,LABRADOR
32279,1400,FORTEAU BAY,Canada,51.466667,-56.966667,LABRADOR
32280,1420,ST ANTHONY,Canada,51.366667,-55.583333,NEWFOUNDLAND  E COAST
32281,1430,CONCHE,Canada,50.883333,-55.9,NEWFOUNDLAND  E COAST
32282,1431,RODDICKTON,Canada,50.866667,-56.133333,NEWFOUNDLAND  E COAST
32283,1432,FOURCHE HARBOR,Canada,50.516667,-56.316667,NEWFOUNDLAND  E COAST
32284,1440,HAMPDEN,Canada,49.533333,-56.833333,NEWFOUNDLAND  E COAST
32285,1460,WESTPORT COVE,Canada,49.783333,-56.616667,NEWFOUNDLAND  E COAST
32286,1470,SEAL COVE,Canada,49.933333,-56.383333,NEWFOUNDLAND  E COAST
32287,1473,BAIE VERTE,Canada,49.95,-56.166667,NEWFOUNDLAND  E COAST
32288,1475,LA SCIE,Canada,49.966667,-55.616667,NEWFOUNDLAND  E COAST
32289,1480,TILT COVE,Canada,49.883333,-55.616667,NEWFOUNDLAND  E COAST
32290,1510,LITTLE BAY,Canada,49.616667,-56,NEWFOUNDLAND  E COAST
32291,1515,SPRINGDALE,Canada,49.5,-56.066667,NEWFOUNDLAND  E COAST
32292,1520,PILLEYS ISLAND HARBOR,Canada,49.5,-55.716667,NEWFOUNDLAND  E COAST
32293,1525,FORTUNE HARBOR,Canada,49.533333,-55.233333,NEWFOUNDLAND  E COAST
32294,1530,BOTWOOD,Canada,49.15,-55.333333,NEWFOUNDLAND  E COAST
32295,1550,CAMPBELLTON,Canada,49.283333,-54.916667,NEWFOUNDLAND  E COAST
32296,1560,LEWISPORTE,Canada,49.25,-55.05,NEWFOUNDLAND  E COAST
32297,1570,MORETONS HARBOR,Canada,49.583333,-54.85,NEWFOUNDLAND  E COAST
32298,1580,TWILLINGATE,Canada,49.666667,-54.766667,NEWFOUNDLAND  E COAST
32299,1590,FOGO,Canada,49.716667,-54.283333,NEWFOUNDLAND  E COAST
